cypriot,turkish,greek,english
Gavumades,"Kurumuş, tuzlanmış zeytin","Αποξηραμένες, αλατισμένες ελιές","Dried, salted olives"
Gavurinihtes,"Kurutulmuş, tuzlanmış zeytin","Αποξηραμένες, αλατισμένες ελιές","Dried, salted olives"
Gordon,"Kalın sicim, madolyan veya saat asmak için zincir","Παχύ σχοινί, αλυσίδα για μετάλλιο ή ρολόι","Thick string, chain for a medal or watch"
Gonnara,Dikenli tülünbeye benzer,Μοιάζει με αγκαθωτό φυτό,Resembles a thorny plant
Gonga,"İki top iskambil ile oynanan, en az iki kişinin oynadığı kağıt oyunu",Παιχνίδι με τράπουλα που παίζεται με δύο τράπουλες (συμπεριλαμβανομένων των τζόκερ) από δύο ή περισσότερα άτομα,Card game played with two decks (including jokers) by two or more people
Griko,"Ağır bir şeyi kaldırmak için kullanılan alet, kriko",Γρύλος για την ανύψωση βαρέων αντικειμένων,Jack for lifting heavy objects
Fışkı,Gübre,Κοπριά,Manure
Yiro,"Daire, çember, roundabout","Κύκλος, κυκλικός κόμβος","Circle, roundabout"
Yuro,"Daire, çember, roundabout","Κύκλος, κυκλικός κόμβος","Circle, roundabout"
Roundabout,"Daire, çember","Κύκλος, κυκλικός κόμβος","Circle, roundabout"
Zuk,Kıbrıs rakısı,Κυπριακό ρακί,Cypriot raki
Zivania,Kıbrıs cibre brendisidir,Κυπριακό τσίπουρο,Cypriot pomace brandy
Zivaniya,Kıbrıs cibre brendisidir,Κυπριακό τσίπουρο,Cypriot pomace brandy
tabellacı,tabella yazan kimse,πινακιστής,sign writer
tahan,tahın,ταχίνι,tahini
tahanlı,tahınlı,ταχινόπιτα,tahini pie
tahınlı,tahin kullanılarak yapılan spiral tatlı,ταχινόπιτα,tahini roll
tahta tahta ben var,Babi Düme oyununa benzer bir çocuk oyunu,ξύλινο παιχνίδι,wooden game
takka,"kimi kuşların tepelerinde bulunan uzunca tüy, sorguç",φούντα,plume
takkalı,takkası olan,με φούντα,with a plume
takkalı,"toprak renginde, takkalı, göçmen olmayan, yerli bir kuş",τοπικό πτηνό,native bird
talar,"nora şekil vermede kullanılan, süpürge otundan veya ince dallardan yapılmış bir tür küçük sepet",καλάθι,basket
talatur,"yoğurt, ayran içine hıyar doğranarak yapılan çok kez sarımsaklı soğukluk, cacık",τταλατούρι,tzatziki
talya,patates çiçeği,λουλούδι πατάτας,potato flower
tamburça,"deriden yapılmış, deliksiz, evsemekte kullanılan elek",σουρωτήρι,sieve
tatari,tat olan,γευστικός,tasty
tatari,dengesiz kişi,άστατος,unstable person
tatlı leymon,"yuvarlak, düz kabuklu, içi tatlı bir limon türü",γλυκό λεμόνι,sweet lemon
tavatır,"ağızlarda dolaşan ve doğruluğu belli olmayan haber, söylenti",φήμη,rumor
tayfalmak/tayfalanmak,fazla acıkmak,πεινάω πολύ,to be very hungry
tayfalmak/tayfalanmak,bayılmak(bilincin kapanması anlamında),λιποθυμώ,to faint
tebareki,ölünün gömüldüğü gece Kuran’dan ayet okunması,τεμπαρέκι,reading Quran verses
tehel,"makineyle yapılan dikiş, teyel",γαζί,stitch
tehellemek,"tehelle tutturmak ya da tehel vurmak, teyellemek",γαζώνω,to stitch
tehelli,"tehelle tutturulmuş ya da tehel vurulmuş, teyelli",ραμμένος,stitched
tekeç/tekeş,eşi kaybolmuş hayvan,χήρα ζώο,widowed animal
tekerlek oyunu,çember oyunu,παιχνίδι με στεφάνι,hoop game
tele,"Kumaşla astar arasına konularak giysinin dik durmasını sağlayan kolalı bez, tela",διπλή,interfacing
tele,dikiş ipliği,κλωστή,sewing thread
tele almak,alay etmek,κοροϊδεύω,to mock
telli karga,"uzun kuyruklu, siyah, göğüs kısımları yeşilimsi bir karga türü",καρακάξα,magpie
temre,"deride yer yer küme durumundaki birtakım karartılarla kendini gösteren hastalık, temreği",έκζεμα,eczema
temreyi,"deride yer yer küme durumundaki birtakım karartılarla kendini gösteren hastalık, temreği",έκζεμα,eczema
tenbel,tembel,τεμπέλης,lazy
tente,her türlü iplikle örülen ya da kumaşın kenraına işlenen türlü biçimde ince ve ağımsı örgü,κρόσι,fringe
tepreşmek,"yeniden ortaya çıkmak, nüksetmek",ανακάμπτω,to relapse
tepreşmek,"kımıldamak, oynamak",κινώ,to move
tepsermek,"ıslak bir şeyin az biraz suyunu çekmesi, kurumaya yüz tutması",στεγνώνω,to start drying
tepsermek,nemlenmek,υγραίνομαι,to get damp
terb/terf,küçük baş hayvanların iç organlarını kaplayan ince zar,μεμβράνη,membrane
terb/terf,gömlek,πουκάμισο,shirt
terhunotu,yerdenbahar,στρουθιονικό,tarragon
terpiz,"ortalığın birbirine düşüp karışması, karışıklık, kargaşalık",αναταραχή,chaos
terpiz,"her şeyi fenaya almak huyunda olan, kötüye yorucu",αρνητικός,negative
terpiz,"karıştırıcı, arabozucu",ανακατεύω,troublemaker
terpizlik,"karıştırıcılık, arabozuculuk, fesatlık",αταξία,mischief
tey,asma filizi,κλήματα,vine shoot
tey,kavun ya da karpuz sürgünü,σπόρος πεπονιού,melon sprout
tezek,sabanın veya belin kaldırdığı iri toprak,χώμα,clod
tıbık,kuş tutmada kullanılan üzerine okşa veya süpürge darısından yapılan yapışkan madde sürülmüş değnek,ραβδί παγίδευσης,bird trapping stick
tımbırdama,"tımbır tımbır ötme, ses çıkarma",θορυβώ,to buzz
tımbırdamak,"tambura gibi ince, kuru ve çınlama ses çıkarma, tıngırdatmak",τριγυρίζω,to ring
tıpılamak,"ince ince yağmak, çiselemek",ψιχαλίζει,to drizzle
tırahoma,"dırahoma, Hristiyan ve Yahudilerde gelinin damada verdiği mal/mülk, para",προίκα,dowry
trahoma,"dırahoma, Hristiyan ve Yahudilerde gelinin damada verdiği mal/mülk, para",προίκα,dowry
tile,"pamuk iplik, tire",νήμα,thread
tingo tingo,"sessiz, patırtısız, tin tin",αθόρυβα,quietly
tingoz,"çok asabi, huysuz ve titiz kimse",εκνευριστικός,irritable person
tinyoz,"çok asabi, huysuz ve titiz kimse",εκνευριστικός,irritable person
tingozlanmak,"övünmek, böbürlenmek",καυχιέμαι,to boast
tinyozlanmak,"övünmek, böbürlenmek",καυχιέμαι,to boast
tipilemek,"(hava) tipiye çevirmek, (yağmur) ince ince yağmak, çiselemek",χιονοθύελλα,to snowstorm
tiringoz,açıkgöz,πονηρός,sly
tirifil,"hayvan yemi olarak yetiştirilen bir tür bitki, Tirfil",τροφή για ζώα,animal feed
dirifil,"hayvan yemi olarak yetiştirilen bir tür bitki, Tirfil",τροφή για ζώα,animal feed
tiriyoni,"korularda yaşayan, eti için avlanan, güvercini andırır bir kuş, Üveyik, bilimsel adıyla streptopelia Turtur",τυρίγιον,dove-like bird
tokuç,iri çekiç,σφυρί,hammer
tokuç,çamaşır tokası,μανταλάκι,clothespin
tombola,tombala,τόμπολα,tombola
tombolacı,tombalacının işi,τόμπολας,tombola player
tombulacı,"kandırıkçı, dolandırıcı",απατεώνας,swindler
dombulacı,"kandırıkçı, dolandırıcı",απατεώνας,swindler
tongar,başında takkası olan bir tür kuş,χρυσαετός,golden eagle
topaç oyunu,yere çizilen daire içerisinde topaç ya da topaçları çıkarmaya ve atılan topacın bu daire kalmaması genel ilkesine dayalı bir çocuk oyunu,παιχνίδι σβούρας,spinning top game
topak,"kütle, külçe",μπάλα,lump
tor,hamam havlusu,πετσέτα μπάνιου,bath towel
tor,havlumsu çocuk bezi,πάντα,cloth diaper
tos,çizmenin topuk kısmı,τακούνι,heel
tosbağı,"tosbağa, kaplumbağa",χελώνα,turtle
tozartmak,toz çıkarmak,σηκώνω σκόνη,to make dust
trolli,el arabası,καροτσάκι,wheelbarrow
drolli,el arabası,καροτσάκι,wheelbarrow
tumbalamak,"devirmek, devrilmek",αναποδογυρίζω,to topple
tumbalabaş,"baş tarafından devrilmiş, tepetaklak",ανάποδα,upside down
dumbalabaş,"baş tarafından devrilmiş, tepetaklak",ανάποδα,upside down
turkobullo,"rumlar destebana turkobullo, yani genç Türk, delikanlı demektedirler",τουρκόπουλο,young Turk
tuz beleği,"eskiden yeni doğan çocuğun başı hariç, tuz, biraz şeker ve zeytinyağı karışımının vücuduna sürdükten sonra ilk belekle, ilk gömleğe verilen ad",αλμυρό κάλυμμα,salt swaddle
tuz gömleği,"eskiden yeni doğan çocuğun başı hariç, tuz, biraz şeker ve zeytinyağı karışımının vücuduna sürdükten sonra ilk belekle, ilk gömleğe verilen ad",αλμυρό ρούχο,salt garment
tülümbe,meydan süpürgesi yapmakta kullanılan çalı,σκούπα,broom
tülemek,"kuşlar ve evcil kanatlıların, uyumak için bir dala veya çubuğa konup sinmek",κουρνιάζω,to roost
tünemek,"kuşlar ve evcil kanatlıların, uyumak için bir dala veya çubuğa konup sinmek",κουρνιάζω,to roost
tülemek,erkenden uykuya yatmak,κοιμάμαι νωρίς,to sleep early
tünemek,erkenden uykuya yatmak,κοιμάμαι νωρίς,to sleep early
tüpürmek,"ağzındakileri dudakları arasına getirip dışarı vermek, tükürmek",φτύνω,to spit
tüpürdüğünü yalamak,"tükürdüğünü yalamak, verdiği karardan benliğini küçülterek geri dönmek",αλλάζω γνώμη,to eat one's words
tüpürük,tükürük,σάλιο,saliva
tüpürüklemek,tüpürükle ıslatmak,σαλιώνω,to wet with saliva
tüpürüklenmek,tüpürükleme işine konu olmak,γίνομαι σαλιωμένος,to be spit on
tütmek,"güzel kokmak, güzel koku yaymak",μοσχοβολώ,to smell nice
tütmek,duman çıkarmak,καπνίζω,to smoke
tütmek,dumanı geri vermek,αναδύω καπνό,to emit smoke
tütülemek,kokusunu duymak için bir şeyi burnuna yaklaştırıp havasını çekmek,μυρίζω,to smell
tütülenmek,tütüleme işine konu olmak,μυρίζομαι,to be smelled
tütütmek,"nazardan korunmak için zeytin dalının yakılıp sevdiklerinin çevresinde gezdirilmesi, inaç. “gözü olanın gözü çıksın/götüne” gibi sözler sarfedilmektedir.",καπνίζω,to smoke against evil eye
tüylemek,"kaçmak, sıvışmak",το σκάω,to flee
ucumak,"bir şeyden soğumak, usanmak",κουράζομαι,to tire of
ucundan,"devamlı, sürekli",συνεχώς,constantly
ucundan,bir işe hiç yorulmadan devam etmek,ακούραστα,tirelessly
ucunmak,"bir şeyden nefret etmek, soğumak, bırakmak",αποφεύγω,to avoid
uçurgan,uçurtma,χαρταετός,kite
uğunmak,ovunmak,τρίβομαι,to rub oneself
umbu,su,νερό,water
uruba,giysi,ένδυμα,garment
uşana,keçinin doğurmasından sonra arkada çıkan toprağa denir,τοκτοπάς,afterbirth
uşo,eşeği durdurmada kullanılan sözcük,στοπ για γάιδαρο,stop for donkey
uşşi,eşek,γαϊδούρι,donkey
utancak,utangaç,ντροπαλός,shy
utaşmak,"yetişmek, ulaşmak",φθάνω,to reach
uyan,"sürücünün tutması için ipin bağlı olduğu hayvanların ağızlarına konulan demir ya da tahta, oyan",πετάλωμα,bridle
oyan,"sürücünün tutması için ipin bağlı olduğu hayvanların ağızlarına konulan demir ya da tahta, uyan",πετάλωμα,bridle
uzun işik oyunu,giggirigi ve Ne Lazım diye bilinen iki çocuk oyununun genel adı,μακρύ φως παιχνίδι,long light game
uzunhacı,elin orta parmağı,μακρύ δάχτυλο,middle finger
üçayak,"ayakkabıları onarmada, çakmakta kunduracıların kullandığı üç ayaklı araç",τρίποδο,tripod
üçtaş oyunu,"ingiliz bayrağı şeklinde çizilen bir alanda iki oyuncunun üçer taşla oynadıkları oyun. Oyuncular teker teker taş koyarlar. Taşların aynı sıraya gelmesine özen gösterilir ya da diğer oyuncunun bu sırayı yapmamasına çalışılır. Bütün taşlar yerleştirilince ilk oynayan, herhangi bir taşı, taş atlatmadan en yakın noktalardan birine hareket ettirerek konar. Üçleme durumunda kazanır, üçleyemezse öteki oynar. Kararlaştırılan oyun sayısında oyun yapan kazamış olur. Dokuz Taş ya da On İki Taş bu oyunun gelişmiş versiyonudur.",τρίλιζα,tic-tac-toe
üfelemek,"başparmağı ile işaret parmağı arasında bir şeyi (mesela nane) ezip inceltmek, toz haline getirmek, ufalamak",τρίβω,to crush
üfürüntü,ince toz,σκόνη,fine dust
ülemek,"bölmek, taksim etmek",μοιράζω,to divide
ülemek,"koyun ya da keçi sesi, bağırması, melemek",βελάζω,to bleat
üleme,ölmezotu,αμάρανθος,everlasting flower
ülük,"testi, ibrik, çaydanlık gibi şeylerin su dökülen ağız kısımları",στόμιο,spout
vada,"gülgillerden, bahçe çitlerinde yol kenarlarında kendiliğinden yetişen, dikenli bir çalı(rubus fruticosus), Dikendudu",βατόμουρο,blackberry
vado,Vadanın küçük türü,μικρό βατόμουρο,small blackberry
vakla,harup silkelemede kullanılan üste doğru incelen uzunca değnek,καλάμι,cane
vali masası,konukların ağırlanması için kullanılan genişçe yemek masası,τραπέζι επισκεπτών,guest table
valvida,akışkan bir maddenin geçmesine yol verdiği gibi çıkmasına da vidamsı bir parçanın yardımıyla yer veren bisiklet veya benzer parçalarda olan parça,βαλβίδα,valve
vıngıldamak,çok gürültü çıkarmak,βουίζω,to buzz loudly
varara,"(kaba) “Ne sorarsın?”, “Nene gerek?”, “Seni ilgilendirmez.” Anlamında öfkelice söylenen söz",τί σε νοιάζει;,what do you care?
vardakosta,eskiden kıyıları koruyan gemilere verilen ad,ακτοπλοϊκό,coast guard
vardakosta,iri yarı ve gösterişli(kadın),εντυπωσιακή γυναίκα,impressive woman
vardakosta dinlememek,"önündekini, karşısındakini hesaba katmadan yürümek, ilerlemek ya da bir iş yapmak",προχωρώ χωρίς να λαμβάνω υπόψη,to move forward without consideration
varga,"üç okkalı, saplı, taş kırmada kullanılan araç",βαριά,heavy hammer
vatta,testi,κανάτα,jug
vavatsino,vadanın yemişi,βατόμουρο,bramble
velesbit,bisiklet,ποδήλατο,bicycle
verigo,"asma biçiminde yetişen, iri taneli, çekirdekli, uzun süre dayanan bir üzüm türü",σταφύλι,grape
verga,çubuk,ράβδος,rod
vezirpaşa,"aşık oyunu, vezirovasilo",παιχνίδι με κόκαλα,bone game
vezirovasilo,"aşık oyunu, vezirpaşa",παιχνίδι με κόκαλα,bone game
vıngıldamak,"çınlamak, çın çın etmek",βουίζω,to ring
vidadez,kunduraların altına gönün yenmemesi için çakılan bir tür başlı çivi,καρφί,nail
vira,"bidüziye, arasız",αδιάλειπτα,unceasingly
vira,"yap, et gibi verilen komut",προχώρα,command to move
vira,devamlı çekmek,τραβώ συνεχώς,to pull continuously
vitsa,"ince, uzun, yaş, uç kısmı yapraklı ağaç dalı",κλαδί,branch
vizilemek,hastalık veya zayıflıktan dolayı ince ve cansız ses çıkarmak,παραπονιέμαι,to whine
vomi,iki tarla arasındaki toprak yığını,αναχώματα,embankment
vomi,sınır,όριο,boundary
yahudi yesin seni,(birinin) kötü durumlara düşmesini istemek,κατάρα,curse
yalandırmak,"kandırmak, aldatmak",εξαπατώ,to deceive
yalbırdamak,parlamak,λάμπω,shine
yalburdamak,parlamak,λάμπω,shine
yalpırdamak,parlamak,λάμπω,shine
yalbur yalbur,"parıl parıl, pırıl pırıl",αστραφτερός,sparkling
yalçı,cam gibi parlayan taş,λαμπερή πέτρα,a stone which is shining like a glass
yalli,ayna,καθρέφτης,mirror
yanpürü,"eğri, büğrü, çarpık",στραβός,crooked
yarıbuçuk,"yarım bırakılmış, bitirilmemiş, tamamlanmamış",ημιτελής,unfinished
yataksandalyesi,"uzanabilecek şekilde yapılan, döşeme yerine bez gerilen bir tğür portatif koltuk, şezlong",ξαπλώστρα,lounger
yatıevi,"yolcu evi, otel",ξενοδοχείο,hotel
yayılgan,yayılma özelliği olan,επεκτατικός,expansive
yaymaç,radyo,ραδιόφωνο,radio
yaz girişi,"ilkbahar, ilkyaz",άνοιξη,spring
yenir ağrısı,gittikçe derinleşip oyularak genişleyen yara,έλκος,ulcer
yennar,ocak ayı,Ιανουάριος,January
yerdenbahar,dereotu,μάραθος,dill
yergastro,ayrıkotu,αγριάδα,quackgrass
yerinmek,"kederlenmek, maraz etmek",στεναχωριέμαι,to grieve
yerinmek,gücenmek,παραπονούμαι,to complain
yerimo,beytambal,μπεϊμπαλ,bay tamal
yeyinti,yiyecek şeyler,φαγητό,food
yıkışmak,hoşa gitmeyecek şekilde sataşmak,πειράζω,to tease
yılgar,"İlgar, dizginleri koyuverilmiş atın dörtnala koşması",κάλπαζα,galloping
yiro,"daire, değirmi, yuro",κύκλος,circle
yiro,"çevre, yuro",περίμετρος,perimeter
yuro,"daire, değirmi, yiro",κύκλος,circle
yuro,"çevre, yiro",περίμετρος,perimeter
yom,uğur,ευλογία,blessing
yunak,davarın yıkanıldığı sulak yer,πλύσιμο,washing place
yusufu,mandarin,μανταρίνι,mandarin
yuvarlaktaş,"yollarda, toprak damlarda yeri bastırmak, toprakları ezmek için gzedirilen taş silindir",κύλινδρος,roller
yürülmek,"gebe kalmak, döl turmak",μείνω έγκυος,to get pregnant
yürülmek,hayvanların çiftleşmesi,ζευγαρώνω,to mate
yütmek,"(oyunda) yenmek, kazanmak, ütmek",νικώ,to win
yütülmek,"(oyunda) kaybetmek, ütülmek",χάνω,to lose
zahar,"zağar, bir tür av köpeği",κυνηγόσκυλο,hunting dog
zal,deli,τρελός,crazy
zangadak,"birdenbire ve sarsıntıyla(durmak, oturmak, düşmek vb)",βίαια,abruptly
zarıncamak,ızdırap içinde yaşamak,υποφέρω,to suffer
zırıncamak,ızdırap içine yaşamak,υποφέρω,to suffer
zarta atmak,atıp tutmak,λαλούν,to boast
zarta atmak,yellenmek,πέρδομαι,to fart
zayip olmak,zannetmek,υποθέτω,to suppose
zebelleş,"musallat, tebelleş",παρεμβατικός,meddlesome
zebelleş olmak,"musallat olmak, tebelleş olmak",παρεμβαίνω,to meddle
zebil,"acınacak durumda olan, bozgun, ezgin, perişan",ατυχής,pitiful
zebil olmak,"acınacak duruma gelmek, bozguna uğramak, perişan olmak",έχω κακή τύχη,to be pitiful
zebillik,"acınacak durum, bozgunluk, ezginlik, perişanlık",ατυχία,pitiful state
zehir ağacı,"karşılıklı küçük yapraklı, tohumları çitlenbik büyüklüğünde, bir tür ağaç",δηλητηριώδες δέντρο,poison tree
zehir çıkarmak,"haspa çıkar, konuşma! sus! Anlamında “zehir çıkar!” biçiminde kullanılan argo",σκάσε,shut up
zerzemin,savaş durumlarında toprak altında açılan ve düşman içlerine girmek için kullanılan tünel,υπόγειο τούνελ,subterranean tunnel
zesto,"etsiz pişirilen makarna, pilav gibi yemekler",χορτοφαγικό,vegetarian
zevla,"her çift hayvanın boynunu tutan, boyunduruğun iki ucunda birer çift değnektir",ζεύγη,yoke
zıbandık,"görünüşü ve davranışlarıyla korku iri yarı adam, ızbandut",τρομακτικός,frightening
zıppır,"deli dolu, delişmen, zıpır",ζιπ,zippy
zırdagolo,"yerdeki bir kütük üzerine, dönebilen uzun bir tahtanın çakılarak iki ucuna çocukların oturup oynadıkları oyuncak",ξυλόβαθρο,wooden see-saw
zibillik,çöplük,χωματερή,dump
zillidayre,tef,ντέφι,tambourine
zincir çiçeği,"kalın et yapraklı, çeşitli renklerde çiçekleri olan, yayılgan bir süs bitkί",χαλινό,bridal flower
zip,fermuar,φερμουάρ,zipper
zirziro,ağustos böceği,τζιτζίκι,cicada
zirziro,delidolu kimse,τρελός,crazy person
zivaniya,kıbrısın yerel içkisi,ζιβανία,zivania
zonguldamak,zonklamak,χτυπώ,to throb
zobba,"dayak, kötek, sopa",ξύλο,stick
zuhli,katı birşeyleri dikerken iğne geçirilecek yeri delmek için kullanılan çelikten yapılmış sivri uçlu ve ağaç saplı aygıt,τρυπάνι,awl
zuk,kıbrıs rakısı,ζιβανία,zivania
zulumen,bir yiyeceğin çok acılığını belitmek için “zehir zıkkım” biçiminde kullanılır,καυτερός,very spicy
zehir zulumen,zehir zıkkım,καυτερό φαγητό,very spicy food
Gakgalli,Sümük,,"Snot,"
Babavura,Uğur Böceği,Πασχαλίτσα,Ladybug
Babuç/Babiç,Pabuç,Παπούτσι,Shoe
Bango,Tezgah,Πάγκος,Bench
Bandofla,Terlik,Παντόφλα,Slipper
Badadez,Patates,Πατάτες,Potatoes
Barra,Tahta direk veya birini defetmek için kullanılan argo,Στύλος ή αργκό για να διώξεις κάποιον,Wooden pole or slang for dismissing someone
Basadembo,Tuzlu kabak çekirdeği,Αλατισμένοι κολοκυθόσποροι,Salted pumpkin seeds
Bandabulya,Belediye pazarı,Δημοτική αγορά,Municipal market
Basbalya,Tokat,Χαστούκι,Slap
Basdiş,Acı badem kurabiyesi,Πικρό αμυγδαλωτό,Bitter almond biscuit
Batsali,Bir tür zehirli yılan çeşidi,Είδος δηλητηριώδους φιδιού,Type of venomous snake
Bavuri,"Matara, küçük bidon","Μπουκάλι, μικρό δοχείο",Bottle or small container
Bas,Otobüs,Λεωφορείο,Bus
Bariya,Arkadaş grubu,Ομάδα φίλων,Group of friends
Bavuri,Bidon,Δοχείο,Container
Belesbit,Bisiklet,Ποδήλατο,Bicycle
Belo,Kırma köpek,Διασταύρωση σκύλου,Mixed-breed dog
Beytambal galsın,Eksik kalsın,Ας λείπει,Let it be (leave it out)
Betsi,Yassı sünger veya emici bez,Σφουγγάρι ή απορροφητικό ύφασμα,Flat sponge or absorbent cloth
Bitda,Börek,Πίτα,Pastry
Birceğez,Bir tane,Ένα,One
Biddaga,Yayvan,Επίπεδο,Flat
Boru,Korna,Κόρνα,Horn
Bodiri,Küçük bardak (veya kısa boylu kişi),Μικρό ποτήρι (ή κοντός άνθρωπος),Small glass or short person
Bondoboksi,Kısa boylu kimse,Κοντός άνθρωπος,Short person
Bögün,Bugün,Σήμερα,Today
Bögüce,Bu gece,Απόψε,Tonight
Buncaçcık,Minicik,Μικροσκοπικό,Tiny
Bullez,Yer elması,Αγγινάρα Ιερουσαλήμ,Jerusalem artichoke
Bulli,Piliç,Κοτοπουλάκι,Chick
Bullim,Canım anlamında da kullanılır,Αγαπημένος,My dear
Bullo,"Kuş, genel anlamda",Πουλί,Bird
Buraşda,Burada,Εδώ,Here
Cirilenmek,Yuvarlanmak,Κυλίομαι,To roll
Cigla,Ardıçkuşu,Τσίχλα,Thrush (bird)
Cizro (Zirziro),Ağustos Böceği,Τζιτζίκι,Cicada
Çakizdez,Kıbrıs’a özgü tuzlu kırılmış ve kurulan Yeşil zeytin,Πράσινη ελιά Κύπρου,Salted and cracked Cypriot green olives
Dari,Mısır,Καλαμπόκι,Corn
Deplek,Darbuka,Νταρμπούκα,Goblet drum
Della,Kalın ve renkli genellikle kargoda paketlemede kullanılan seloteyp,Χοντρή ταινία συσκευασίας,Thick packing tape
Ditsiro,"Zavallı, zayıf","Αδύναμος, αξιολύπητος","Weak, pitiful"
Domadez,Domates,Ντομάτες,Tomatoes
Dümen,Direksiyon,Τιμόνι,Steering wheel
Fanella,Fanila,Φανέλα,Undershirt
Fago,İleri derecede görme sorunu olan,Τυφλός,Blind (severe visual impairment)
Fasariya,Gereksiz,Άχρηστο,Unnecessary
Fica,Yosun,Φύκια,Seaweed
Fortigo,Kamyon,Φορτηγό,Truck
Gargara yapmak,Ağızda çalkalamak,Κάνω γαργάρα,To gargle
Garyola,Yatak,Κρεβάτι,Bed
Galles,Kalleş,Προδότης,Traitor
Galif,Genellikle evlerin damına kurulan baraka,Στέγαστρο στις στέγες,Roof shelter
Gabbar,Kapari,Κάπαρη,Caper
Gancelli,Bahçe kapısı,Πόρτα κήπου,Garden gate
Gavvolem,Allah kahretsin,Θεέ μου καταράσου,Damn it
Gabira,Kızarmış ekmek,Φρυγανιά,Toast
Gadef,Kadeh,Ποτήρι κρασιού,Wine glass
Gave,Kahve,Καφές,Coffee
Gavro,Yengeç veya karga burnu şeklinde İngiliz anahtarı,Καβούρι ή κλειδί γαλλικό,Crab or spanner
Gabal,Durmaksızın,Συνεχώς,Constantly
Garavulli,Salyangoz,Σαλιγκάρι,Snail
Gatsavida,Tornavida,Κατσαβίδι,Screwdriver
Gapbella,Bere,Σκουφάκι,Beanie
Gatsot,Cimri,Τσιγκούνης,Stingy
Glaç,Debriyaj,Συμπλέκτης,Clutch
Gorniz,Korniş,Κουρτινόξυλο,Curtain rod
Goncoloz,Canavar,Τέρας,Monster
Golo,Kıç,Κώλος,Buttocks
Gologas,Kökü pişirilip yenen bir bitki,Ρίζα που μαγειρεύεται,Root vegetable
Golla,Tutkal,Κόλλα,Glue
Gollifa,"Susam, badem, kuru üzüm ve nar taneleriyle karıştırılmış haşlanmış buğday","Σιτάρι με σουσάμι, αμύγδαλα, σταφίδες και ρόδι","Boiled wheat with sesame, almonds, raisins, and pomegranate"
Golyandro,Güzel kokulu tohumları olan başka bir bitki,Κόλιανδρος,Coriander
Gonga,Konken,Κονκέν,Conk (game)
Govcalamak,Kovalamak,Κυνηγώ,To chase
Golifa zannetding galiba,Kolay sandın galiba,Νόμισες ότι είναι εύκολο,You thought it was easy
Göyver,Koy ver,Άστο,Let it go
Gocagari,Yaşlı kadın,Γριά,Old woman
Gindirik,Aralık bırakmak,Αφήνω μισάνοιχτο,To leave ajar
Girmizilik,Ruj,Κραγιόν,Lipstick
Gilli,Erkek eşek,Αρσενικό γαϊδούρι,Male donkey
Giksi,"Yırtıcı bir kuş, Atmaca",Γεράκι,Hawk
Gıccatcık,Kızcağız,Κοριτσάκι,Little girl
Gel be bura,Buraya gel,Έλα εδώ,Come here
Guduru,"Ezbere, sıradan","Μηχανικά, πρόχειρα","By rote, casually"
Guduru,"Kontrolsüz, rastgele",Ανεξέλεγκτα,"Uncontrolled, randomly"
Guello,"Aptal, ahmak",Χαζός,Foolish
Gulliri,Yuvarlak çörek veya dairesel olan şeyler,Κυκλικό ψωμάκι,Round bread or circular items
Guno,"Aptal, beyinsiz",Ανόητος,Foolish
Gurkuda,Büyük duvar kertenkelesi veya korkunç yaşlı kişi,Μεγάλη σαύρα τοίχου ή τρομακτικός ηλικιωμένος,Large wall lizard or frightening old person
Hasba çıkar,Kes sesini,Σταμάτα,Shut up
Harnip,Keçiboynuzu,Χαρούπι,Carob
Hade,Hadi,Πάμε,Come on
Haçan da,Ne kadar çabuk!,Πόσο γρήγορα!,How quickly!
Haçana beş?,Kaç kere?,Πόσες φορές;,How many times?
Haksilo,Kes sesini,Σταμάτα,Shut up
Hacina,Aracı,Μεσάζων,Mediator
Hollo,Hayalet veya ahmak,Φάντασμα ή ανόητος,Ghost or fool
Ispaho,İnce ip,Λεπτό σχοινί,Thin rope
Isbano,Köşe,Γωνία,Corner
Isbasdra,İskambil kâğıdı veya oyunu,Τράπουλα ή παιχνίδι,Playing cards or game
Isgonto,Ucuzluk,Ευκαιρία,Bargain
Isbirto,Kibrit veya saf alkol,Σπίρτα ή καθαρό οινόπνευμα,Matches or pure alcohol
Isdavroz,Haç (cross),Σταυρός,Cross
Kakdirmak,İtmek,Σπρώχνω,To push
Kakma,Tekme,Κλωτσιά,Kick
Kerata,Yaramaz çocuk,Άτακτο παιδί,Mischievous child
Küllüm,Topluca,Όλα μαζί,All together
Lapsana,Yabani fakat yenilebilen çiçekli bir ot,Άγριο εδώδιμο φυτό,Wild edible herb
Laşga,Gevşek,Χαλαρός,Loose
Lamarina,Saç,Λαμαρίνα,Sheet metal
Lamicana,Su şişesi,Μπουκάλι νερού,Water bottle
Lera,Pis,Βρώμικο,Dirty
Leymonatda,Limonata,Λεμονάδα,Lemonade
Letsa,İnsan vücudunda istenmeyen yağ,Ανεπιθύμητο λίπος,Unwanted body fat
Lingiri,Değneklerle oynanan bir tür oyun,Παιχνίδι με μπαστούνια,Game with sticks
Loddo,Aşırı şişman kişi,Υπερβολικά παχύσαρκο άτομο,Extremely obese person
Lollo,Şaklaban,Γελωτοποιός,Clown
Lollo,"Ahmak, aptal",Ηλίθιος,Foolish
